ID_ADMIN;COORD_X;COORD_Y;ALT_TERRAI;PROFONDE_1
4897;2501004.25;1127150.23;421.8;2.2
4947;2501849.3;1126040.18;391;4
11430;2501893.26;1127490.27;390.64;7
9202;2501347.25;1126761.21;407.7;2.6
8833;2501713.27;1126902.22;391.34;24.14
8800;2501649.3;1126163.18;398.7;4.6
6391;2502114.27;1127205.27;382.1;4.8
9326;2502166.29;1125902.2;374;10
8825;2501526.26;1127436.27;405.52;60.1
8612;2501963.26;1127374.27;386.8;15.8
12478;2501817.79;1127136.36;387.86;4.2
11426;2501786.2;1127945.32;402.79;8.15
8835;2501779.27;1126922.23;387.63;2.9
17992;2501117.03;1126760.03;419;200
17568;2501587.3;1127115.35;391.12;52.5
1237;2501923.3;1126287.2;386.1;20.1
17348;2501827.79;1126389.57;387.1;10
16965;2501229;1126648;413;220
5729;2501169.24;1127991.28;422;2.9
1240;2501934.27;1127025.24;383.57;15.1
9000;2501754.27;1126921.22;388.5;27
5821;2501700.92;1126644.86;392.1;3.9
1449;2501799.3;1125885.19;377.1;3
11428;2501594.26;1127489.27;402.82;8
3249;2501958.3;1126204.2;384.52;16
9959;2501229.26;1127635.27;412.7;3.2
15929;2501496;1126423;401.2;200
10788;2501629.26;1127430.27;401.22;10
4933;2502174.31;1128110.63;386;3.2
15717;2501275;1126495;410;200
14599;2501431.27;1126930.21;404.5;1.8
11380;2501194.24;1126525.22;414.9;4.3
1231;2501935.3;1125953.19;381.68;23.8
1459;2500401.25;1128030.28;428.65;10.15
1467;2500229.25;1126473.26;415.65;2.15
12274;2501813.26;1125856.54;377.48;3.6
8190;2501309.25;1126134.19;408.1;3.3
10141;2501838.29;1126455.2;386.98;12
7610;2501944.3;1128080.71;395;8
13862;2501458.79;1126438.01;403;150
8695;2501745.29;1126415.19;390.59;8
6388;2502136.26;1127405.26;381.8;4.2
14154;2501875.27;1127358.27;390;4.2
13393;2501429.39;1127033.22;404;12
3811;2500389.23;1127320.27;424.5;8
17569;2502054.3;1127160.35;381.8;70
6387;2502080.26;1127410.26;382.7;4
16945;2501808;1126875;388.09;38
3810;2500357.23;1127045.25;422.2;4.05
11130;2499806.28;1126415.26;405.8;5.5
16017;2501453;1126335;403.8;3.5
6772;2502019.29;1126030.2;384.72;35
14368;2501947.3;1126316.2;381.65;15
6887;2501264.25;1126115.2;409.3;4
14556;2502129.29;1125815.2;373.4;1.9
5213;2501653.28;1126580.19;396.3;4.3
13398;2501420.55;1127008.14;405;4
6770;2501969.3;1126090.19;384.98;30
5728;2501005.21;1128149.29;425.8;2
10792;2501897.3;1125940.18;379.93;20
5726;2501088.23;1128063.28;424.5;3.5
8692;2501555.27;1126641.2;401.12;4.1
2769;2502075.29;1125904.2;383.02;10
14367;2501877.3;1126263.19;386.99;20
5329;2501277.25;1126028.2;389;1.6
3813;2500389.68;1128029.85;428.66;4.3
15605;2501752;1127023;388.28;13.1
4411;2501882.3;1126018.18;384;1.6
11429;2501893.25;1127607.26;389.7;7.45
16946;2501651;1126229;397.5;56
1084;2501899.27;1127045.24;385;15.5
12765;2501598.26;1127417.27;401.01;12
14418;2501854.3;1125903.18;377.7;10
7135;2501159.26;1127136.22;423.6;2.5
7326;2502110.26;1127443.26;381.8;4.5
4919;2501339.25;1126575.21;407.5;2.7
12476;2501816.27;1127212.26;388.97;3.1
5820;2501698.45;1126664.35;393;5.2
12701;2501610.28;1126494.19;397.5;10
13970;2501671.27;1127258.25;393;2
9749;2501660.25;1127768.27;398.52;10.5
13156;2501267.59;1127019.86;412;68
12003;2501731.2;1126751.99;392.5;2.6
16016;2501455;1126304;403.5;3.5
10300;2501999.31;1127920.65;385.7;6
1076;2502224.27;1127145.27;373.2;20
9752;2501879.3;1126065.18;387.33;9.6
8616;2501965.26;1127446.27;386.5;15.2
10140;2501813.29;1126492.2;386.74;12
14640;2500959.18;1126994.37;422;160
15894;2499806;1126768;429.4;140
20067;2502075;1126002;375;210
20107;2500433;1126979;421.25;86
20214;2501884;1126681;384.72;30
21087;2501731.74;1127174.17;391.97;6
21086;2501687.03;1127196.79;392.62;6
21221;2501812;1126954;386.8;4.1
21223;2501852;1126937;386.78;4.1
21220;2501777;1126978;387.17;4
21222;2501859;1126977;386.57;4
21224;2501892;1126954;385.73;4.1
21681;2501614;1126403;397.5;4
21682;2501615;1126393;397.3;3.8
23864;2501939;1127147;384.8;8
23598;2501875.55;1125829.1;377.68;7
23866;2501960;1127206;385.9;8
23865;2501964;1127164;383.8;8
24049;2501160;1126734;419.55;4
24047;2501192;1126736;417.6;4
24048;2501192;1126709;417.6;4
24210;2501887;1127121;386.36;1.7
24205;2501843;1127080;387.04;2.4
24209;2501860;1127120;387.24;2
24202;2501894;1127108;385.72;1.9
24206;2501843;1127118;387.81;1.5
24207;2501843;1127102;387.37;1.8
24203;2501849;1127126;387.63;2.2
24204;2501864;1127080;387.02;2
24208;2501856;1127106;387.32;2
24211;2501889;1127118;386.04;1.9
24329;2501895.38;1125867.18;381.48;10
24328;2501893.61;1125849.15;380.33;2
24330;2501894.86;1125839.09;381.68;20
24713;2502136;1127106;381.07;180
24714;2502136.16;1127096.79;381;180
24750;2502139;1126956;376.2;4.25
24749;2502111;1126964;376.1;3.15
