Easting;Northing;Elevation
2495999.319;1139999.106;1392.7
2496024.319;1139999.106;1392.3
2496049.319;1139999.106;1392.6
2496074.319;1139999.106;1392.2
2496099.32;1139999.106;1389.2
2496124.32;1139999.106;1383.7
2496149.32;1139999.106;1378.1
2496174.32;1139999.106;1378.1
2496199.32;1139999.106;1376.2
2496224.32;1139999.106;1374.7
2496249.32;1139999.106;1373.2
2496274.32;1139999.106;1371.6
2496299.32;1139999.106;1370.8
2496324.32;1139999.106;1370.6
2496349.32;1139999.106;1369.3
2496374.32;1139999.106;1375.1
2496399.32;1139999.106;1375.1
2496424.32;1139999.106;1379.4
2496449.32;1139999.106;1380.3
2496474.32;1139999.106;1379.9
2496499.32;1139999.106;1378.5
2496524.32;1139999.106;1379.7
2496549.32;1139999.106;1385.8
2496574.321;1139999.106;1390.5
2496599.321;1139999.106;1394
2496624.321;1139999.106;1394
2496649.321;1139999.106;1392.4
2496674.321;1139999.106;1390.4
2496699.321;1139999.106;1381.8
2496724.321;1139999.106;1368.7
2496749.321;1139999.106;1351
2496774.321;1139999.106;1333.3
2496799.321;1139999.106;1322.9
2496824.321;1139999.106;1312.2
2496849.321;1139999.106;1312.2
2496874.321;1139999.106;1307.4
2496899.321;1139999.106;1302.3
2496924.321;1139999.106;1295.3
2496949.321;1139999.106;1283.8
2496974.321;1139999.106;1273.5
2496999.321;1139999.106;1266.8
2497024.322;1139999.106;1262.6
2497049.322;1139999.106;1257.4
2497074.322;1139999.106;1257.4
2497099.322;1139999.106;1260.2
2497124.322;1139999.106;1260.2
2495524.318;1139974.106;1397.1
2495549.318;1139974.106;1398.3
2495574.318;1139974.106;1399.1
2495599.318;1139974.106;1399.4
2495624.318;1139974.106;1400.4
2495649.319;1139974.106;1401.4
2495674.319;1139974.106;1402.6
2495699.319;1139974.106;1403.6
2495724.319;1139974.106;1403.6
2495749.319;1139974.106;1404.1
2495774.319;1139974.106;1403
2495799.319;1139974.106;1400.5
2495824.319;1139974.106;1397.9
2495849.319;1139974.106;1397.6
2495874.319;1139974.106;1396.7
2495899.319;1139974.106;1392.5
2495924.319;1139974.106;1391.2
2495949.319;1139974.106;1391.2
2495974.319;1139974.106;1393.2
2495999.319;1139974.106;1393.3
2496024.319;1139974.106;1391.5
2496049.319;1139974.106;1391.7
2496074.319;1139974.106;1391.9
2496099.32;1139974.106;1390.3
2496124.32;1139974.106;1384.8
2496149.32;1139974.106;1376.4
2496174.32;1139974.106;1376.4
2496199.32;1139974.106;1373.7
2496224.32;1139974.106;1373.3
2496249.32;1139974.106;1372.1
2496274.32;1139974.106;1370.6
2496299.32;1139974.106;1369
2496324.32;1139974.106;1365.1
2496349.32;1139974.106;1364.8
2496374.32;1139974.106;1370.9
2496399.32;1139974.106;1370.9
